1
75
99
1	Abilene	-99,7399980	32,4500000
2	Albany	-73,8000029	42,6699982
3	Albuquerque	-106,6199700	35,1199770
4	Atlanta	-84,4199987	33,7599982
5	Austin	-97,7500018	30,3099988
6	Baltimore	-76,6100008	39,2999992
7	Baton_Rouge	-91,1299968	30,4499996
8	Billings	-108,5400006	45,7900010
9	Birmingham	-86,8000029	33,5299985
10	Bismarck	-100,7699965	46,8100015
11	Boston	-71,0199959	42,3400005
12	Buffalo	-78,8600010	42,8899993
13	Charleston	-79,9899982	32,7900008
14	Charlotte	-80,8300000	35,2000000
15	Chicago	-87,6800010	41,8399970
16	Cincinnati	-84,5100027	39,1399991
17	Cleveland	-81,6800014	41,4799992
18	Columbus	-82,9899970	39,9900020
19	Dallas	-96,7700000	32,7900000
20	Denver	-104,8700036	39,7700027
21	Detroit	-83,0999998	42,3800019
22	El_Paso	-106,4396000	31,8498100
23	Fresno	-119,7900020	36,7800007
24	Greensboro	-79,8300018	36,0800024
25	Hartford	-72,6800003	41,7700004
26	Houston	-95,3900000	29,7700000
27	Jacksonville	-81,6600020	30,3300030
28	Kansas_City	-94,7300038	39,1199992
29	Las_Vegas	-115,2199000	36,2099900
30	Little_Rock	-92,3500000	34,7200000
31	Long_Island	-73,6699993	40,5899999
32	Los_Angeles	-118,4100020	34,1100010
33	Louisville	-85,7399979	38,2200009
34	Memphis	-90,0100040	35,1100010
35	Miami	-80,2099997	25,7800006
36	Milwaukee	-87,9700005	43,0600013
37	Minneapolis	-93,2699973	44,9599988
38	Nashville	-86,7799989	36,1699984
39	New_Orleans	-89,9300000	30,0700000
40	New_York	-73,9400035	40,6699983
41	Newark	-74,1699986	40,7200012
42	Norfolk	-76,2399978	36,9199982
43	Oakland	-122,2200016	37,7700007
44	Oklahoma_City	-97,5100028	35,4700015
45	Omaha	-96,0100022	41,2599984
46	Orlando	-81,3700030	28,4999994
47	Philadelphia	-75,1299964	40,0099985
48	Phoenix	-112,0699996	33,5400006
49	Pittsburgh	-80,1300000	40,3000000
50	Portland	-122,6600035	45,5400007
51	Providence	-71,4200000	41,8200000
52	Raleigh	-78,6600034	35,8199995
53	Richmond	-77,4700015	37,5299986
54	Rochester	-77,6200030	43,1699985
55	Sacramento	-121,4700016	38,5699995
56	Salt_Lake_City	-111,9300007	40,7799986
57	San_Antonio	-98,5100020	29,4599970
58	San_Diego	-117,1399990	32,8100017
59	San_Francisco	-122,4199987	37,6599994
60	San_Jose	-121,8499985	37,2999995
61	Santa_Barbara	-119,7200014	34,4300002
62	Scranton	-75,6700000	41,4000000
63	Seattle	-122,3499985	47,6199992
64	Spokane	-117,4100038	47,6699981
65	Springfield	-89,4000000	39,5000000
66	St_Louis	-90,2400000	38,6400000
67	Syracuse	-76,1399993	43,0400010
68	Tallahassee	-84,2800000	30,4600000
69	Tampa	-82,4800035	27,9599988
70	Toledo	-83,5800000	41,6599970
71	Tucson	-110,8900000	32,2000000
72	Tulsa	-95,9200000	36,1300000
73	Washington_DC	-77,0199965	38,9100003
74	West_Palm_Beach	-80,1299975	26,7499997
75	Wilmington	-75,5299989	39,7400018
1	1	19	281
2	1	22	634
3	2	11	231
4	2	67	195
5	3	19	944
6	3	20	540
7	3	22	364
8	3	29	786
9	4	9	222
10	4	14	366
11	4	27	462
12	5	26	235
13	5	57	120
14	6	47	149
15	6	49	321
16	6	73	56
17	7	26	417
18	7	39	123
19	8	10	607
20	8	20	733
21	8	64	707
22	9	38	294
23	9	39	485
24	10	37	616
25	11	51	67
26	12	17	280
27	12	54	105
28	13	27	316
29	13	52	358
30	14	24	133
31	15	21	383
32	15	36	138
33	15	65	298
34	16	18	161
35	16	33	148
36	16	73	647
37	17	18	199
38	17	70	159
39	18	49	246
40	19	26	360
41	19	30	461
42	19	44	306
43	20	45	767
44	20	56	609
45	21	70	89
46	22	57	803
47	22	71	421
48	23	29	413
49	23	32	322
50	23	43	242
51	24	33	575
52	24	52	109
53	24	53	265
54	25	31	155
55	25	51	105
56	27	46	205
57	28	45	262
58	28	66	392
59	28	72	349
60	29	48	413
61	29	56	583
62	30	34	218
63	31	40	24
64	32	58	186
65	32	61	126
66	33	38	246
67	33	66	395
68	34	38	315
69	35	69	331
70	35	74	108
71	36	37	473
72	37	45	468
73	39	68	544
74	40	41	20
75	40	62	166
76	40	75	170
77	41	47	113
78	42	52	249
79	42	75	320
80	43	55	111
81	43	56	946
82	43	59	21
83	44	72	161
84	46	74	230
85	47	62	161
86	48	58	479
87	48	71	185
88	49	62	395
89	50	55	781
90	50	56	1017
91	50	63	232
92	53	73	158
93	54	67	121
94	59	60	64
95	60	61	372
96	62	67	186
97	63	64	370
98	65	66	120
99	68	69	328
